1,2181380,389398,-96,25,25,-27,0,149,1
2,408330,22947,-96,25,25,-27,0,549,1
3,1709698,202875,-96,25,25,-27,0,849,1
4,1790459,1232006,-96,25,25,-27,0,625,1
5,1013564,811077,-96,25,25,-27,0,925,1
6,930714,1308273,-96,25,25,-27,0,501,1
7,467606,1603931,-96,25,25,-27,0,149,1
8,2061991,1366987,-96,25,25,-27,0,549,1
9,1266541,1464601,-96,25,25,-27,0,149,1
10,1138429,464549,-96,25,25,-27,0,549,0
11,820139,768507,-96,25,25,-27,0,149,0
12,567754,785640,-96,25,25,-27,0,549,1
13,1421581,1128966,-96,25,25,-27,0,149,1
14,1305158,491107,-96,25,25,-27,0,549,0
15,925921,824512,-96,25,25,-27,0,149,0
16,1567895,944008,-96,25,25,-27,0,549,1
17,676513,1233516,-96,25,25,-27,0,149,1
18,1591310,1473157,-96,25,25,-27,0,549,0
19,421116603,348616858,-96,25,25,-27,0,149,1
20,206270049,47317096,-96,25,25,-27,0,549,1
21,368851552,959924893,-96,25,25,-27,0,149,0
22,266192079,518328556,-96,25,25,-27,0,549,0
23,829473271,726569997,-86,100,100,-10,1,149,1
24,620693727,582363392,-86,100,100,-10,1,549,0
25,769558814,290343986,-86,100,100,-10,1,149,1
26,832938389,240503411,-86,100,100,-10,1,549,1
27,942081367,533237692,-86,100,100,-10,1,149,1
28,124697099,223805214,-86,100,100,-10,1,549,1
29,774237398,539297157,-86,100,100,-10,1,149,1
30,928331282,153149709,-86,100,100,-10,1,549,1
31,900561061,312333329,-86,100,100,-10,1,149,1
32,535259193,10740734,-86,100,100,-10,1,549,1
33,371570912,236147412,-86,100,100,-10,1,149,1
34,761176297,441398229,-86,100,100,-10,1,549,1
35,355044242,574243368,-50,50,50,0,2,549,1
36,509939727,671832197,-50,50,50,0,2,549,1
37,48838849,759663678,-50,50,50,0,2,549,1
38,233512131,438259102,-50,50,50,0,2,549,1
